id,account_id,first_name,last_name,email,age,loyalty_program,city,state,country,zip,latitude,longitude,gender,created_at,yearly_amount_spent
16002,215258112,LYNN,ONEAL,lynn_oneal21@yahooo.com,74,0,Nenthall,England,GB,CA9,54.798,-2.4146,Male,"Wed, 24 Jan 2018 05:30:13 -0800",302.8071763
7674,215258112,LYNN,HOLLAND,lholland@yahoo.com,12,0,Nenthall,England,GB,CA9,54.798,-2.4146,Male,"Wed, 24 Jan 2018 05:30:13 -0800",302.8071763
31628,215258112,LYNN,POWELL,lynn_powell23@wp.com,69,0,Nenthall,England,GB,CA9,54.798,-2.4146,Male,"Wed, 24 Jan 2018 05:30:13 -0800",302.8071763
38546,611061762,CANDACE,SANCHEZ,candace_sanchez12@awssws.com,93,0,Nenthall,England,GB,CA9,54.798,-2.4146,Female,"Wed, 03 Oct 2018 02:54:03 -0700",443.0495525
22920,611061762,CANDACE,SMOTHERS,candace_smothers9@wp.com,13,0,Nenthall,England,GB,CA9,54.798,-2.4146,Female,"Wed, 03 Oct 2018 02:54:03 -0700",443.0495525
14202,611061762,CANDACE,BURKHOLDER,cburkholder@yahoo.com,14,0,Nenthall,England,GB,CA9,54.798,-2.4146,Female,"Wed, 03 Oct 2018 02:54:03 -0700",443.0495525
11468,247928584,JOHN,NICHOLLS,johnnicholls@gmail.com,54,0,Nenthall,England,GB,CA9,54.798,-2.4146,Male,"Mon, 02 Jul 2018 22:58:44 -0700",729.768094
16012,247928584,JOHN,GOLDEN,john_golden4@gmail.com,63,0,Nenthall,England,GB,CA9,54.798,-2.4146,Male,"Mon, 02 Jul 2018 22:58:44 -0700",729.768094
31638,247928584,JOHN,KOLLAR,john_kollar6@zzzuuuppp.com,88,0,Nenthall,England,GB,CA9,54.798,-2.4146,Male,"Mon, 02 Jul 2018 22:58:44 -0700",729.768094
1751,604128264,SHIRLEY,FRANK,shirleyfrank@gmail.com,51,0,Nenthall,England,GB,CA9,54.798,-2.4146,Female,"Sun, 16 Apr 2017 09:28:26 -0700",683.4501303
38537,604128264,SHIRLEY,MILLER,shirley_miller10@microsoft.com,24,1,Nenthall,England,GB,CA9,54.798,-2.4146,Female,"Sun, 16 Apr 2017 09:28:26 -0700",683.4501303
22911,604128264,SHIRLEY,CODY,shirley_cody15@yahooo.com,23,1,Nenthall,England,GB,CA9,54.798,-2.4146,Female,"Sun, 16 Apr 2017 09:28:26 -0700",683.4501303
22918,673806873,LINDA,BRUCE,linda_bruce19@zzzuuuppp.com,23,1,Nenthall,England,GB,CA9,54.798,-2.4146,Female,"Fri, 17 Mar 2017 23:14:28 -0700",730.8293981
1267,673806873,LINDA,DODSON,lindadodson@aol.com,12,0,Nenthall,England,GB,CA9,54.798,-2.4146,Female,"Fri, 17 Mar 2017 23:14:28 -0700",730.8293981
38544,673806873,LINDA,CHIVERS,linda_chivers5@gmail.com,89,0,Nenthall,England,GB,CA9,54.798,-2.4146,Female,"Fri, 17 Mar 2017 23:14:28 -0700",730.8293981
16005,616631327,STEPHEN,MCLEOD,stephen_mcleod12@gmail.com,13,1,Nenthall,England,GB,CA9,54.798,-2.4146,Male,"Sun, 05 Nov 2017 18:19:57 -0800",693.2077698
5592,616631327,STEPHEN,PAULSON,stephenpaulson@yahoo.com,34,0,Nenthall,England,GB,CA9,54.798,-2.4146,Male,"Sun, 05 Nov 2017 18:19:57 -0800",693.2077698
31631,616631327,STEPHEN,HARRISON,stephen_harrison10@gmail.com,88,1,Nenthall,England,GB,CA9,54.798,-2.4146,Male,"Sun, 05 Nov 2017 18:19:57 -0800",693.2077698
3639,210077732,THERESA,MELTON,theresamelton@yahoo.com,57,0,Nenthall,England,GB,CA9,54.798,-2.4146,Female,"Sat, 05 Aug 2017 17:32:54 -0700",745.0927535
